Brand_name,Price,Discount_item_clean,Discounted_Price_clean,Ratings_clean,Shades_clean
Nykaa Perfumery,799.0,40.0,479,15364.0,8.0
DIOR Addict,,,4100,299.0,11.0
Miss Claire,295.0,25.0,221,31821.0,41.0
Swiss Beauty,399.0,20.0,319,10373.0,25.0
Huda Beauty,,,1100,1384.0,5.0
M.A.C Locked,,,3150,877.0,18.0
Colorbar Sinful,1499.0,15.0,1274,5956.0,18.0
,,,890,1873.0,18.0
KIRO Non,875.0,20.0,700,3809.0,25.0
Swiss Beauty,299.0,12.0,263,1367.0,4.0
Blue Heaven,99.0,5.0,94,1066.0,22.0
M.A.C MACximal,,,2550,1640.0,31.0
Blue Heaven,200.0,20.0,160,17097.0,5.0
Smashbox Always,,,2700,4258.0,15.0
M.A.C Lip,,,2300,1994.0,17.0
SUGAR POP,229.0,21.0,181,1113.0,15.0
Renee Prime,399.0,25.0,299,170.0,6.0
Faces Canada,325.0,34.0,215,41981.0,21.0
ETUDE HOUSE,650.0,10.0,585,217.0,3.0
Kay Beauty,999.0,15.0,849,200.0,5.0
Nykaa Glow,575.0,15.0,489,308.0,2.0
FENTY BEAUTY,,,2450,110.0,10.0
MARS Matte,690.0,10.0,621,1417.0,2.0
DIOR Addict,,,4500,404.0,17.0
MARS Matte,279.0,7.0,259,7315.0,24.0
Innisfree Dewy,1100.0,15.0,935,1219.0,4.0
Yves Saint,,,4000,40.0,9.0
PAT McGRATH,,,3300,279.0,12.0
Charlotte Tilbury,,,2500,1001.0,20.0
Kay Beauty,,,899,4999.0,
MARS Infinity,379.0,6.0,356,8957.0,3.0
,499.0,30.0,349,13412.0,17.0
ETUDE HOUSE,750.0,15.0,638,495.0,6.0
Swiss Beauty,207.0,5.0,197,31540.0,
Bobbi Brown,,,3350,695.0,9.0
,799.0,10.0,719,700.0,8.0
M.A.C Macximal,,,2550,13.0,6.0
ETUDE HOUSE,950.0,15.0,808,1221.0,8.0
SUGAR POP,279.0,20.0,223,12988.0,25.0
The Face,549.0,19.0,445,11430.0,5.0
Maybelline New,,,849,202.0,5.0
e.l.f. Cosmetics,,,300,513.0,8.0
Typsy Beauty,1099.0,20.0,879,1885.0,2.0
NYX Professional,,,899,3049.0,14.0
DIOR Rouge,,,4800,29.0,26.0
Yves Saint,,,4000,39.0,9.0
ETUDE HOUSE,890.0,10.0,801,122.0,5.0
Smashbox Always,,,1200,247.0,3.0
Biotique Magicolor,125.0,30.0,88,23083.0,15.0
M.A.C Locked,,,3150,591.0,16.0
Insight Cosmetics,,,155,25426.0,24.0
Swiss Beauty,399.0,20.0,319,30477.0,23.0
Nykaa Superlight,749.0,30.0,524,303.0,9.0
Lakme Xtraordin,499.0,10.0,449,196.0,10.0
Mamaearth Soft,399.0,8.0,367,10156.0,9.0
MARS Retractable,299.0,3.0,290,4428.0,22.0
,,,899,14151.0,11.0
Swiss Beauty,299.0,15.0,254,17765.0,28.0
Swiss Beauty,329.0,15.0,280,8878.0,30.0
Daily Life,,,399,1459.0,25.0
FENTY BEAUTY,,,2100,361.0,6.0
Recode Silky,899.0,10.0,809,2303.0,
Lakme Superglow,350.0,10.0,315,52.0,6.0
Yves Saint,,,4000,150.0,17.0
e.l.f. Cosmetics,,,750,1795.0,6.0
Chemist At,349.0,14.0,299,319.0,4.0
Juicy Chemistry,350.0,20.0,280,9275.0,
Earth Rhythm,249.0,18.0,204,1009.0,4.0
Just Herbs,745.0,27.0,544,9936.0,3.0
Just Herbs,575.0,27.0,420,16258.0,
FENTY BEAUTY,,,3000,294.0,11.0
Blue Heaven,399.0,22.0,311,4811.0,
ETUDE HOUSE,950.0,20.0,760,278.0,6.0
Faces Canada,499.0,30.0,349,6614.0,6.0
SUGAR Mettle,1049.0,9.0,955,3552.0,5.0
Love Earth,599.0,55.0,269,20406.0,9.0
Charlotte Tilbury,3350.0,15.0,2848,506.0,8.0
Earth Rhythm,249.0,5.0,237,380.0,
Lotus Herbals,345.0,25.0,259,15871.0,
,289.0,22.0,225,1580.0,12.0
Miss Claire,65.0,15.0,55,42830.0,23.0
FAE Beauty,379.0,10.0,341,272.0,7.0
DIOR Addict,,,4100,337.0,10.0
Colorbar Kiss,999.0,23.0,769,6155.0,2.0
Renee Cosmetics,250.0,26.0,185,3924.0,
MARS Colorbum,229.0,4.0,220,1852.0,18.0
M.A.C MACximal,,,1650,1627.0,6.0
Swiss Beauty,299.0,15.0,254,4671.0,26.0
RENEE Very,599.0,20.0,479,2559.0,
Parul Garg,595.0,5.0,565,710.0,15.0
SUGAR Mousse,599.0,5.0,569,1144.0,14.0
Faces Canada,399.0,35.0,259,3022.0,15.0
Clarins Lip,,,2200,276.0,8.0
MARS Aqua,149.0,7.0,139,3362.0,8.0
Kay Beauty,899.0,10.0,809,2916.0,
SUGAR Lipping,525.0,9.0,478,4721.0,5.0
Blue Heaven,135.0,10.0,122,18759.0,25.0
Anastasia Beverly,,,3200,64.0,9.0
Swiss Beauty,229.0,25.0,172,4987.0,9.0
Matt look,199.0,15.0,169,164.0,24.0
Pilgrim Matte,495.0,22.0,386,1151.0,24.0
Faces Canada,329.0,30.0,229,2895.0,19.0
Colorbar Velvet,449.0,25.0,337,82566.0,25.0
PAC Timeless,,,325,2281.0,20.0
DIOR Lip,,,4100,70.0,3.0
LAMEL All,450.0,10.0,405,2896.0,4.0
NARS Powermatte,,,3000,21.0,21.0
KIRO Ph,800.0,10.0,720,1493.0,4.0
Colorbar Powerkiss,599.0,22.0,467,6708.0,19.0
Gush Beauty,399.0,30.0,279,1423.0,10.0
Too Faced,,,1590,1363.0,2.0
M.A.C Squirt,,,2300,541.0,10.0
KIRO Slickstick,1000.0,10.0,900,167.0,12.0
SUGAR Smudge,499.0,40.0,299,26529.0,8.0
Revlon Super,999.0,20.0,799,2265.0,11.0
Faces Canada,299.0,34.0,199,18019.0,10.0
Guerlain Rouge,,,4100,15.0,16.0
Faces Canada,299.0,34.0,199,18019.0,10.0
Guerlain Rouge,,,4100,15.0,16.0
Love Earth,799.0,55.0,359,180.0,8.0
Too Faced,,,1410,3106.0,2.0
Insight Cosmetics,,,170,2507.0,24.0
TIRTIR My,1050.0,15.0,893,36.0,4.0
Lakme Absolute,825.0,15.0,701,754.0,12.0
e.l.f. Cosmetics,,,1100,13.0,8.0
Simply Nam,699.0,15.0,594,40.0,3.0
Lakme Lip,349.0,15.0,297,1550.0,4.0
,550.0,15.0,468,1555.0,9.0
M.A.C Powder,,,3100,2.0,5.0
SUGAR Partner,699.0,5.0,664,179.0,15.0
e.l.f. Cosmetics,900.0,10.0,810,6637.0,12.0
Anastasia Beverly,2600.0,25.0,1950,292.0,7.0
Bobbi Brown,,,2700,737.0,7.0
NARS Powermatte,,,2800,15.0,12.0
Earth Rhythm,449.0,25.0,337,461.0,5.0
Lovechild Masaba,1000.0,15.0,850,271.0,10.0
,,,920,41.0,7.0
M.A.C Lustreglass,,,2800,345.0,7.0
PAT McGRATH,,,3800,522.0,15.0
Revlon Colorstay,999.0,30.0,699,1756.0,18.0
,299.0,18.0,245,248.0,9.0
Armani Lip,,,3500,,15.0
Lakme Ultimate,,,350,64.0,11.0
ColourPop Lippie,799.0,50.0,400,1264.0,10.0
Nykaa Cosmetics,749.0,35.0,487,9434.0,4.0
Nykaa Gloss,550.0,25.0,413,11614.0,4.0
Charlotte Tilbury,,,3950,452.0,9.0
Maybelline New,2796.0,45.0,1538,936.0,
Charlotte Tilbury,,,2500,384.0,10.0
Clinique Pop,,,2400,7.0,36.0
Parul Garg,495.0,5.0,470,483.0,16.0
Renee Cosmetics,299.0,17.0,249,123.0,7.0
Blue Heaven,299.0,20.0,239,6570.0,7.0
,,,890,699.0,4.0
Streax Professional,325.0,20.0,260,247.0,9.0
Blue Heaven,100.0,10.0,90,10434.0,9.0
Faces Canada,699.0,40.0,419,3368.0,11.0
LoveChild Masaba,600.0,15.0,510,2532.0,12.0
Blue Heaven,100.0,10.0,90,10434.0,9.0
Faces Canada,699.0,40.0,419,3368.0,11.0
Renee Cosmetics,399.0,15.0,339,2318.0,
Love Earth,1399.0,57.0,599,26.0,
Swiss Beauty,429.0,15.0,365,3893.0,26.0
Nykaa Perfumery,1499.0,40.0,899,1602.0,3.0
Swiss Beauty,229.0,15.0,195,9074.0,3.0
,,,890,854.0,16.0
Blue Heaven,180.0,10.0,162,14070.0,23.0
MARS Lip,299.0,3.0,290,84.0,6.0
NYX Professional,,,699,46716.0,5.0
SUGAR La,399.0,25.0,299,84.0,5.0
Lakme Glitterati,899.0,5.0,854,376.0,10.0
Parul Garg,595.0,5.0,565,11.0,14.0
Renee Cosmetics,599.0,17.0,499,1579.0,17.0
e.l.f. Cosmetics,,,650,3514.0,6.0
Bobbi Brown,,,4100,17.0,9.0
